Model,Fold,Accuracy_No_PCA,Precision_No_PCA,Recall_No_PCA,F1_No_PCA,Accuracy_With_PCA,Precision_With_PCA,Recall_With_PCA,F1_With_PCA
SVM,1,0.967032967032967,1.0,0.9117647058823529,0.9538461538461539,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394
SVM,2,0.989010989010989,0.9714285714285714,1.0,0.9855072463768116,0.989010989010989,0.9714285714285714,1.0,0.9855072463768116
SVM,3,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9560439560439561,0.9166666666666666,0.9705882352941176,0.9428571428571428
SVM,4,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176
SVM,5,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176
Naive Bayes,1,0.9560439560439561,1.0,0.8823529411764706,0.9375,0.9120879120879121,0.9642857142857143,0.7941176470588235,0.8709677419354839
Naive Bayes,2,0.978021978021978,0.9444444444444444,1.0,0.9714285714285714,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149
Naive Bayes,3,0.9120879120879121,0.8611111111111112,0.9117647058823529,0.8857142857142857,0.8901098901098901,0.8529411764705882,0.8529411764705882,0.8529411764705882
Naive Bayes,4,0.9120879120879121,0.90625,0.8529411764705882,0.8787878787878788,0.8791208791208791,0.9259259259259259,0.7352941176470589,0.819672131147541
Naive Bayes,5,0.9340659340659341,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9120879120879121,0.8823529411764706,0.8823529411764706,0.8823529411764706
KNN,1,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697
KNN,2,1.0,1.0,1.0,1.0,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176
KNN,3,0.967032967032967,1.0,0.9117647058823529,0.9538461538461539,0.967032967032967,1.0,0.9117647058823529,0.9538461538461539
KNN,4,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394,0.945054945054945,0.967741935483871,0.8823529411764706,0.9230769230769231
KNN,5,0.989010989010989,1.0,0.9705882352941176,0.9850746268656716,0.989010989010989,1.0,0.9705882352941176,0.9850746268656716
Logistic Regression,1,0.9560439560439561,1.0,0.8823529411764706,0.9375,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697
Logistic Regression,2,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348
Logistic Regression,3,1.0,1.0,1.0,1.0,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697
Logistic Regression,4,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697
Logistic Regression,5,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.989010989010989,1.0,0.9705882352941176,0.9850746268656716
Decision Tree,1,0.9010989010989011,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.945054945054945,0.9393939393939394,0.9117647058823529,0.9253731343283582
Decision Tree,2,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.967032967032967,0.918918918918919,1.0,0.9577464788732394
Decision Tree,3,0.9120879120879121,0.9333333333333333,0.8235294117647058,0.875,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058
Decision Tree,4,0.9340659340659341,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9230769230769231,0.8857142857142857,0.9117647058823529,0.8985507246376812
Decision Tree,5,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149
Random Forest,1,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.967032967032967,1.0,0.9117647058823529,0.9538461538461539
Random Forest,2,1.0,1.0,1.0,1.0,0.978021978021978,0.9444444444444444,1.0,0.9714285714285714
Random Forest,3,0.945054945054945,0.967741935483871,0.8823529411764706,0.9230769230769231,0.9560439560439561,0.9411764705882353,0.9411764705882353,0.9411764705882353
Random Forest,4,0.945054945054945,0.9142857142857143,0.9411764705882353,0.927536231884058,0.945054945054945,0.967741935483871,0.8823529411764706,0.9230769230769231
Random Forest,5,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.945054945054945,0.9393939393939394,0.9117647058823529,0.9253731343283582
AdaBoost,1,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697,0.9560439560439561,1.0,0.8823529411764706,0.9375
AdaBoost,2,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176
AdaBoost,3,0.945054945054945,0.967741935483871,0.8823529411764706,0.9230769230769231,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176
AdaBoost,4,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394
AdaBoost,5,0.989010989010989,1.0,0.9705882352941176,0.9850746268656716,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149
Gradient Boosting,1,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.945054945054945,1.0,0.8529411764705882,0.9206349206349206
Gradient Boosting,2,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.967032967032967,0.918918918918919,1.0,0.9577464788732394
Gradient Boosting,3,0.945054945054945,0.967741935483871,0.8823529411764706,0.9230769230769231,0.9340659340659341,0.9117647058823529,0.9117647058823529,0.9117647058823529
Gradient Boosting,4,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394
Gradient Boosting,5,0.989010989010989,1.0,0.9705882352941176,0.9850746268656716,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697
XGBoost,1,0.9560439560439561,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.967032967032967,1.0,0.9117647058823529,0.9538461538461539
XGBoost,2,0.978021978021978,0.9444444444444444,1.0,0.9714285714285714,0.978021978021978,0.9444444444444444,1.0,0.9714285714285714
XGBoost,3,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149
XGBoost,4,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394
XGBoost,5,0.989010989010989,1.0,0.9705882352941176,0.9850746268656716,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394
Stacking,1,0.967032967032967,1.0,0.9117647058823529,0.9538461538461539,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697
Stacking,2,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348
Stacking,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stacking,4,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149
Stacking,5,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.989010989010989,1.0,0.9705882352941176,0.9850746268656716
Stacking,1,0.967032967032967,1.0,0.9117647058823529,0.9538461538461539,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697
Stacking,2,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348
Stacking,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stacking,4,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.967032967032967,0.9696969696969697,0.9411764705882353,0.9552238805970149
Stacking,5,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.989010989010989,1.0,0.9705882352941176,0.9850746268656716
