Model,Accuracy_No_PCA,Accuracy_With_PCA,Accuracy_Change,Precision_No_PCA,Precision_With_PCA,Precision_Change,Recall_No_PCA,Recall_With_PCA,Recall_Change,F1_No_PCA,F1_With_PCA,F1_Change
SVM,0.9758241758241759,0.9714285714285715,-0.00439560439560438,0.97109243697479,0.9596043417366946,-0.011488095238095353,0.9647058823529411,0.9647058823529411,0.0,0.9674103219883271,0.9617869598432259,-0.005623362145101174
Naive Bayes,0.9384615384615385,0.9120879120879121,-0.02637362637362639,0.9247140522875817,0.9190405455111339,-0.005673506776447845,0.9117647058823529,0.8411764705882353,-0.07058823529411762,0.9170390883626178,0.8762315742654196,-0.04080751409719818
KNN,0.9758241758241759,0.9714285714285713,-0.004395604395604602,0.9876893939393939,0.9876660341555977,-2.3359783796195188e-05,0.9470588235294117,0.9352941176470587,-0.01176470588235301,0.966707720140556,0.9604565817559673,-0.006251138384588684
Logistic Regression,0.9736263736263737,0.9780219780219781,0.00439560439560438,0.9771428571428572,0.9885714285714287,0.011428571428571455,0.9529411764705882,0.9529411764705882,0.0,0.9640480895915677,0.970137455017403,0.006089365425835269
Decision Tree,0.9296703296703297,0.9494505494505494,0.01978021978021971,0.9213843264578557,0.9256019656019656,0.004217639144109886,0.8882352941176469,0.9411764705882352,0.05294117647058827,0.9038733037902791,0.9328860900640704,0.029012786273791336
Random Forest,0.9670329670329672,0.9582417582417582,-0.008791208791208982,0.9644625709521344,0.9585513579820979,-0.005911212970036495,0.9470588235294117,0.9294117647058823,-0.01764705882352946,0.9552850541704228,0.9429802506536482,-0.012304803516774543
AdaBoost,0.9714285714285715,0.9670329670329669,-0.004395604395604602,0.9762374627270264,0.975924688057041,-0.00031277466998536063,0.9470588235294117,0.9352941176470588,-0.0117647058823529,0.9609916988128233,0.954658858115838,-0.0063328406969853646
Gradient Boosting,0.9670329670329672,0.956043956043956,-0.010989010989011172,0.9646306381790254,0.9598867249602543,-0.004743913218771101,0.9470588235294117,0.9235294117647058,-0.02352941176470591,0.9552837817600958,0.9398474028962844,-0.015436378863811329
XGBoost,0.9692307692307693,0.9648351648351647,-0.004395604395604602,0.9594456115779645,0.9703282828282829,0.010882671250318388,0.9588235294117646,0.9352941176470587,-0.02352941176470591,0.9587190694813705,0.9518572969319237,-0.006861772549446865
Stacking,0.9758241758241759,0.9802197802197803,0.00439560439560438,0.9766284695696461,0.9825108225108226,0.00588235294117645,0.9588235294117646,0.9647058823529411,0.00588235294117645,0.9672360017735443,0.9733034432580181,0.006067441484473801
