Model,Std Accuracy - No PCA,Std Accuracy - With PCA,Change in Std,Stability After PCA
SVM,0.00919406622564919,0.01474330534615244,0.005549239120503251,Reduced
Naive Bayes,0.028655834748143514,0.03387040660971966,0.005214571861576148,Reduced
KNN,0.018056787610060413,0.016665660316596827,-0.0013911272934635857,Improved
Logistic Regression,0.0166656603165968,0.0077704041888631715,-0.008895256127733628,Improved
Decision Tree,0.02278729819047003,0.01838813245129835,-0.004399165739171679,Improved
Random Forest,0.023311212566589485,0.014327917374071755,-0.00898329519251773,Improved
AdaBoost,0.016665660316596827,0.01098901098901095,-0.0056766493275858775,Improved
Gradient Boosting,0.015540808377726343,0.01737515197894713,0.0018343436012207871,Reduced
XGBoost,0.014327917374071743,0.00919406622564915,-0.005133851148422594,Improved
Stacking,0.014327917374071752,0.01432791737407176,8.673617379884035e-18,Reduced
